Month,Year,DTR,Rain
1,2008,9,62.1
2,2008,7.8,69.3
3,2008,8,3.6
4,2008,8.1,180.8
5,2008,7,257.9
6,2008,6.9,163.6
7,2008,6.4,221.8
8,2008,6.4,172.1
9,2008,6.7,335.2
10,2008,6.9,399.3
11,2008,7,36.7
12,2008,9,0
1,2009,10.6,0
2,2009,9.7,0
3,2009,8.9,30.2
4,2009,9.5,359.6
5,2009,8.1,463.4
6,2009,7.1,219.3
7,2009,7.3,175.7
8,2009,8.4,354
9,2009,8.5,351.8
10,2009,8.6,264.2
11,2009,9.3,46.5
12,2009,9.3,7.3
1,2010,8.6,99.9
2,2010,7.2,2.9
3,2010,8.9,14.6
4,2010,8.4,17.3
5,2010,8.5,279.3
6,2010,8.7,198.8
7,2010,8.2,348.7
8,2010,8.1,343.1
9,2010,8.3,409.5
10,2010,7.2,256.3
11,2010,7.6,30.6
12,2010,8.7,22.7
1,2011,9.9,0.63
2,2011,8.8,37.342
3,2011,7.4,136.716
4,2011,8.1,136.662
5,2011,7.6,246.128
6,2011,6.7,196.584
7,2011,7.7,288.68
8,2011,7.4,292.804
9,2011,7.4,266.538
10,2011,7.7,337.502
11,2011,8.6,1.88
12,2011,9.2,0.584
1,2012,9.2,43.354
2,2012,8.3,18.654
3,2012,8.3,31.888
4,2012,8.5,51.914
5,2012,8.8,108.984
6,2012,7.6,123.418
7,2012,6.9,176.626
8,2012,7.9,190.436
9,2012,7.3,548.736
10,2012,7.6,236.996
11,2012,8,106.022
12,2012,9.7,12.256
1,2013,10.3,32.206
2,2013,9,4.098
3,2013,9.1,35.918
4,2013,9.2,64.366
5,2013,8.9,111.54
6,2013,7.8,206.946
7,2013,7.2,142.212
8,2013,8.1,228.214
9,2013,7.3,312.22
10,2013,7.9,314.09
11,2013,8.5,69.286
12,2013,10.5,2.06
1,2014,11.2,0
2,2014,8.6,2.512
3,2014,8.1,19.314
4,2014,8.7,25.358
5,2014,9.3,125.41
6,2014,7.6,125.936
7,2014,7.4,122.27
8,2014,7.9,218.006
9,2014,8.1,203.436
10,2014,7.9,206.998
11,2014,8.5,51.506
12,2014,8.6,25.926
1,2015,9.6,3.5
2,2015,9,16.8
3,2015,8,183.9
4,2015,8.7,128.9
5,2015,8.3,82.5
6,2015,8.6,495
7,2015,7.8,220.8
8,2015,7.9,50.5
9,2015,8.1,352.4
10,2015,7.2,334.2
11,2015,8,34.9
12,2015,8.4,42.7
1,2016,13,1.7
2,2016,10,0
3,2016,6,0.5
4,2016,10,0.4
5,2016,10,4.7
