disease_code,geocode_district,date_sick_year,date_sick_month,count
66,1000,2008,2,2
66,1000,2008,3,1
66,1000,2008,4,1
66,1000,2008,5,1
26,1000,2008,5,2
26,1000,2008,6,1
66,1000,2008,6,1
66,1000,2008,7,3
26,1000,2008,7,4
26,1000,2008,8,1
66,1000,2008,8,1
26,1000,2008,9,1
26,1000,2008,10,1
66,1000,2008,11,5
26,1000,2008,11,7
66,1000,2008,12,1
26,1000,2008,12,1
66,1000,2012,7,1
26,1000,2013,7,1
26,1000,2013,10,1
66,1001,2006,1,1
26,1001,2006,1,2
26,1001,2006,2,3
66,1001,2006,3,2
26,1001,2006,5,6
66,1001,2006,6,1
26,1001,2006,6,4
26,1001,2006,7,5
26,1001,2006,8,4
66,1001,2006,9,1
26,1001,2006,9,6
66,1001,2006,10,1
26,1001,2006,10,4
26,1001,2006,11,1
26,1001,2006,12,6
26,1001,2007,1,5
26,1001,2007,2,3
66,1001,2007,3,1
26,1001,2007,3,1
66,1001,2007,5,3
26,1001,2007,5,3
26,1001,2007,6,6
66,1001,2007,7,1
26,1001,2007,7,6
66,1001,2007,8,1
26,1001,2007,8,8
66,1001,2007,9,1
26,1001,2007,9,14
26,1001,2007,10,18
66,1001,2007,10,5
26,1001,2007,11,19
66,1001,2007,11,3
26,1001,2007,12,6
66,1001,2008,1,2
26,1001,2008,1,6
66,1001,2008,2,3
26,1001,2008,2,5
66,1001,2008,3,1
26,1001,2008,3,8
66,1001,2008,4,4
26,1001,2008,4,8
26,1001,2008,5,10
66,1001,2008,5,2
26,1001,2008,6,16
66,1001,2008,6,3
26,1001,2008,7,17
66,1001,2008,7,2
66,1001,2008,8,1
26,1001,2008,8,9
66,1001,2008,9,1
26,1001,2008,9,3
26,1001,2008,10,10
66,1001,2008,11,2
26,1001,2008,11,5
26,1001,2008,12,2
66,1001,2008,12,3
26,1001,2009,1,1
66,1001,2009,1,4
66,1001,2009,3,1
26,1001,2009,4,2
66,1001,2009,4,2
66,1001,2009,5,3
26,1001,2009,5,3
66,1001,2009,6,3
26,1001,2009,6,9
66,1001,2009,7,1
26,1001,2009,7,6
27,1001,2009,8,1
26,1001,2009,8,3
66,1001,2009,8,3
66,1001,2009,9,1
26,1001,2009,9,1
26,1001,2009,10,3
66,1001,2009,10,3
26,1001,2009,11,18
66,1001,2009,11,2
66,1001,2009,12,2
26,1001,2009,12,7
26,1001,2010,1,12
66,1001,2010,1,2
26,1001,2010,2,10
66,1001,2010,3,4
66,1001,2010,4,4
26,1001,2010,5,4
66,1001,2010,6,2
26,1001,2010,6,8
26,1001,2010,7,4
66,1001,2010,7,6
66,1001,2010,8,2
26,1001,2010,8,4
26,1001,2010,9,14
66,1001,2010,9,3
66,1001,2010,10,4
26,1001,2010,10,9
26,1001,2010,11,13
66,1001,2010,11,4
66,1001,2010,12,1
26,1001,2010,12,8
66,1001,2011,1,1
26,1001,2011,1,4
26,1001,2011,2,1
66,1001,2011,2,3
26,1001,2011,3,1
66,1001,2011,3,1
66,1001,2011,4,2
26,1001,2011,4,2
26,1001,2011,5,11
66,1001,2011,5,6
66,1001,2011,6,1
26,1001,2011,6,7
66,1001,2011,7,2
26,1001,2011,7,8
26,1001,2011,8,15
66,1001,2011,8,2
26,1001,2011,9,4
26,1001,2011,10,2
66,1001,2011,10,3
26,1001,2011,11,11
66,1001,2011,11,7
26,1001,2011,12,1
