geocode_district,district_name,postal_code,census_partial_fips,population,area_km2
1001,Phra Nakhon,10200,4034,92636,6
1002,Dusit,10300,4018,175658,11
1003,Nong Chok,10530,4028,98407,236
1004,Bang Rak,10500,4009,72670,6
1005,Bang Khen,10220,4004,187662,42
1006,Bang Kapi,10240,4002,159014,29
1007,Pathum Wan,10330,4030,116401,8
1008,Pom Pram Sattru,10100,4035,85857,2
1009,Prakanong,10260,4033,111720,14
1010,Min Buri,10510,4027,110551,64
1011,Lat Krabang,10520,4025,128199,124
1012,Yannawa,10120,4050,105330,17
1013,Samphantawong,10100,4040,42255,1
1014,Phaya Thai,10400,4032,102652,10
1015,Thon Buri,10600,4046,210653,9
1016,Bangkok Yai,10600,4012,100393,6
1017,Huai Kwang,10320,4019,90185,15
1018,Khlong San,10600,4022,127152,6
1019,Taling Chan,10170,4044,111878,30
1020,Bangkok Noi,10700,4011,181372,12
1021,Bangkhuntien,10150,4006,120016,121
1022,Phasi Charoen,10160,4031,158827,18
1023,Nongkheam,10160,4029,122062,36
1024,Rat Burana,10140,4037,107080,16
1025,Bang Plad,10700,4008,137344,11
1026,Din Dang,10400,4016,186319,8
1027,Bung Kum,10240,4013,152562,24
1028,Sathorn,10120,4042,124902,9
1029,Bang Su,10800,4010,180598,12
1030,Chatuchak,10900,4014,190578,33
1031,Bang Kho Laem,10120,4005,135388,11
1032,Prawet,10250,4036,134189,53
1033,Khlong Toey,10110,4023,159527,13
1034,Suan Luang,10250,4043,126970,24
1035,Chom Thong,10150,4015,195602,26
1036,Don Muang,10210,4017,160444,37
1037,Ratchathewi,10400,4038,119574,7
1038,Lat Phrao,10230,4026,119838,22
1039,Wattana,10110,4049,91596,13
1040,Bang Khae,10160,4003,192504,45
1041,Lak Si,10210,4024,131766,23
1042,Sai Mai,10220,4039,158839,45
1043,Khan Na Yao,10230,4020,85576,26
1044,Saphan Sung,10240,4041,80082,28
1045,Wang Thonglang,10310,4048,120907,20
1046,Khlong Sam Wa,10510,4021,99352,111
1047,Bang Na,10260,4007,113399,19
1048,Thawi Wattana,10170,4045,58255,50
1049,Thungkru,10140,4047,97818,31
1050,Bang Bon,10150,4001,82585,35
